Gene,OncoPredictsGenes,TMPredictsGenes,ActualLabel
IGLV3-1,4,0,-3
NTRK2,5,0,1
NTRK3,4,0,1
FRS2,5,0,-2
SH2D1A,1,0,-1
KPNB1,1,0,-3
TUBA1A,1,0,-3
RPS6KA1,10,5,-3
KITLG,8,1,-3
NCK2,2,0,-3
LAT2,2,0,-3
LARP1,1,0,-3
HBEGF,7,0,-3
TAF8,1,0,-3
PDGFB,9,0,1
PDGFRB,10,0,1
CSNK1E,2,5,-3
CLK1,1,1,-3
DYNLL1,2,0,-3
FANCL,0,1,-1
RPA1,0,6,-3
RPA3,0,3,-3
FANCG,0,1,-2
RPA2,0,6,-3
FANCC,0,1,-1
FANCE,0,1,-2
FANCF,0,1,-2
FANCA,0,1,-1
FANCB,0,1,-3
CSK,7,14,-3
PRRT2,0,1,-3
UBE2V2,0,2,-3
ERC1,0,1,-2
IQGAP1,5,0,-3
TNK2,2,0,-3
NTN1,4,0,-3
IFNA21,1,0,-3
IFNA17,1,0,-3
IFNA14,1,0,-3
IFNA16,1,0,-3
SQSTM1,0,2,-3
IFNA10,1,0,-3
MYB,1,0,-2
IGHV1-46,4,0,-3
IGHV1-69,4,0,-3
HSPA1B,2,0,-3
HSPA1A,2,0,-3
SEMA3A,1,0,-3
TOP3A,1,2,-3
HLA-DRB1,3,1,-3
TUBB,1,0,-3
RXRA,0,1,-2
FCGR1A,4,0,-3
FCGR2A,4,0,-3
TNF,0,1,-3
FCGR3A,5,0,-3
GTF2H1,2,0,-3
HDAC1,2,2,1
APBB1IP,4,0,-3
PIAS4,0,2,-3
NRP1,2,0,-3
TLN1,4,0,-3
TREM2,5,0,-3
EPHB2,3,0,-3
GRB7,1,1,-3
FZD2,1,0,-3
ATRIP,0,6,-3
MTMR14,1,0,-3
RACK1,1,0,-3
ROCK2,2,2,-3
TBK1,4,1,-3
TRIM24,6,1,-2
STK4,2,3,-3
ADAM17,2,0,-3
PBK,1,0,-3
SFN,1,3,-3
UBE2T,0,1,-3
AGO2,0,1,-2
BARD1,0,3,-1
SOCS3,2,6,-1
SOCS1,2,6,-1
IGHG2,4,0,-3
IGHG3,4,0,-3
IGHG4,4,0,-3
IGHG1,4,0,-3
ROCK1,2,1,-3
YWHAE,6,4,-2
WNK1,1,0,-3
Mnk1,1,0,-3
Mnk2,1,0,-3
BCAR1,0,1,-3
KDR,6,0,1
MDC1,1,3,-2
WRN,1,1,-2
TPX2,1,1,-3
RPS6KA5,5,1,-3
CD44,1,1,-3
LATS1,0,6,-1
TRAV29DV5,2,0,-3
PKD1,0,1,-3
YWHAZ,7,2,-3
IL5RA,3,0,-3
MAPK15,1,0,-3
TRAV8-4,2,0,-3
PPP2R1A,4,8,-1
PPP2R1B,1,9,-3
CAV1,1,0,-3
GRK5,2,1,-3
PPP2R5D,1,7,-3
IGHV3-7,4,0,-3
IGHV3-9,4,0,-3
KEAP1,0,1,-1
KIRREL1,1,0,-3
IGKV1-12,4,0,-3
IGKV1-17,4,0,-3
IGKV1-16,4,0,-3
IGLC6,4,0,-3
IGLC7,4,0,-3
IGLC1,4,0,-3
IGKV1-33,4,0,-3
IGLC2,4,0,-3
IGLC3,4,0,-3
IGKV1-39,4,0,-3
CCNA2,3,2,-3
CCNA1,2,1,-3
NEUROD1,1,0,-3
RAD17,0,6,-3
CBLB,1,0,-2
MST1,1,0,-1
SUMO1,0,3,-3
PLK4,1,0,-3
PLK2,1,1,-2
IL3RA,3,0,-3
RAD9A,0,6,-3
PTK6,8,0,-2
APC,0,1,-1
HLA-A,2,1,-1
HLA-E,5,0,-3
CCNT1,2,1,-3
PRKAR2B,1,0,-3
SMAD3,1,2,-1
IGHM,2,0,-3
IGHD,2,0,-3
TENT4A,4,0,-3
TP53BP2,0,1,-3
ABRAXAS1,0,2,-3
AXIN1,2,4,-1
ERBB3,2,0,1
JAK1,9,2,0
NOS2,2,0,-3
VEGFA,4,0,1
TDGF1P3,0,2,-3
IGHV4-39,4,0,-3
IGHV4-34,4,0,-3
PTPRC,1,0,-2
CISH,0,2,-3
JAK3,8,1,1
NCOA1,0,1,-2
NCOA2,1,0,-2
NCOA3,1,0,1
ESR2,3,0,-3
IGHV4-59,4,0,-3
PPP2R2A,1,0,-2
IRS2,6,0,1
CCNE1,2,1,1
KAT5,0,6,-3
IL4R,3,1,-3
CSNK1G1,1,1,-3
IGLV1-51,4,0,-3
IGLV1-40,4,0,-3
IGLV1-44,4,0,-3
IGLV1-47,4,0,-3
IRAK4,1,0,-3
MAPKAPK2,4,2,-3
TLR9,1,0,-3
MRE11,0,8,-3
CBLL1,0,3,-3
RAD1,0,6,-3
SNAI1,1,0,-3
KRAS,9,0,1
PDGFA,4,0,-3
IL7,2,0,-3
EFNB1,4,0,-3
EFNB2,2,0,-3
EFNB3,2,0,-3
MOB1A,0,2,-3
MOB1B,0,2,-3
IL4,3,3,-3
SRPK1,1,0,-3
CALM3,0,3,-3
TUBB4A,1,0,-3
TUBB4B,1,0,-3
HIST2H2BE,0,2,-3
SH3BGRL3,1,0,-3
NOC2L,1,0,-3
MAP3K14,0,1,1
ARF1,1,1,-3
PTPN6,6,9,-2
PPARG,0,2,1
IGKV1-5,4,0,-3
PLK3,2,5,-3
ETV4,1,0,1
PML,1,3,-2
SGK3,0,1,-3
DNA2,0,2,-3
TGFA,3,0,-3
IGHV2-5,4,0,-3
TYROBP,5,0,-3
VLDLR,1,0,-3
IGKV3-15,4,0,-3
IGKV3-11,4,0,-3
IGKV3-20,4,0,-3
CD79A,2,0,1
CD79B,2,1,1
SLC9A3R1,1,0,-3
IGHV1-2,4,0,-3
HGS,0,1,-3
PXN,3,2,-3
PLCG2,2,0,1
NEDD4L,1,0,-3
NCL,1,1,-3
NEDD1,1,0,-3
STAT1,1,1,-2
BAX,0,2,-2
PRR5,3,0,-3
RET,5,0,1
IGKV4-1,4,0,-3
MAPK6,1,0,-3
EZR,1,0,-2
RHNO1,0,2,-3
IGKV5-2,4,0,-3
ITGB1,0,2,-3
CLASP1,1,0,-3
PTPRE,0,1,-3
AIP,1,0,-3
TEC,2,0,-2
TESK2,1,1,-3
VWF,4,0,-3
CD40LG,1,1,-3
MAPK13,0,3,-3
AGGF1,4,0,-3
CDK5R1,1,1,-3
CAMKK1,1,0,-3
NPM1,1,0,-1
NCK1,4,1,-3
RB1,0,5,-1
VCL,4,0,-3
INCENP,1,0,-3
NEK9,0,1,-3
BAG4,2,0,-3
SHC3,1,0,-3
STK38L,0,1,-3
PITPNA,2,0,-3
PTPN14,0,1,-3
ITGB3,5,1,-3
TRBV7-9,2,0,-3
MATK,1,3,-3
CDK3,4,1,-3
KLB,4,0,-3
GAB2,6,1,1
SMARCA4,2,0,-1
AR,1,1,1
TIPIN,0,1,-3
IGKV3D-20,4,0,-3
IFNGR1,1,0,-1
DYRK1B,1,4,-3
EXO1,0,2,-3
IL2RA,8,0,-3
IL2RG,8,1,-3
CBFB,0,2,-1
EPHB3,1,0,-3
PDK1,3,0,-2
PXK,1,0,-3
PRKX,1,0,-3
ICK,1,0,-2
NUAK1,4,1,-3
LIN28B,0,1,-3
FZD5,1,0,-3
INPP5D,0,1,-2
IL23R,2,1,-3
IL23A,2,1,-3
MEIS1,1,0,-3
ADRBK1,0,1,-3
IFNG,2,0,-3
QKI,4,0,-2
EIF4ENIF1,1,0,-3
BID,0,1,-3
TSC2,0,1,-1
TSC1,1,0,-1
SPOP,0,2,-1
SSRP1,0,1,-3
RAD9B,0,2,-3
IL12B,3,1,-3
DVL1,2,0,-3
DVL2,2,0,-3
DVL3,2,0,-3
MCL1,0,2,1
EFNA1,4,0,-3
ITK,4,0,-2
CARM1,1,0,-2
BRCA1,0,4,-1
SPTB,1,0,-3
IKKB,1,2,-3
PIK3C2A,4,1,-3
PPP1CA,1,0,-3
NODAL,0,2,-3
TAF1,4,0,-2
SHH,1,0,-3
CTNND1,1,1,-3
CTNNA1,1,3,-2
BCL2,1,0,1
ARTN,1,0,-3
CDC37,2,1,-3
GRB10,1,0,-3
RPS6KB2,0,2,1
NLK,4,0,-3
RRN3,1,0,-3
AMOT,0,2,-3
BLNK,2,0,-3
HLA-DQB1,2,0,-3
HLA-DQB2,2,0,-3
TXK,2,0,-3
HLA-DQA1,2,0,-3
HLA-DQA2,2,0,-3
SPTBN4,1,0,-3
HRAS,10,0,1
MEMO1,1,0,-3
BABAM1,0,2,-2
BABAM2,0,2,-3
GAD1,1,0,-3
STK24,1,0,-3
MPRIP,4,0,-3
CCNB2,1,0,-3
HLA-DRB3,2,0,-3
HLA-DRB4,2,0,-3
HLA-DRB5,2,0,-3
IL18R1,1,0,-3
MYC,1,0,1
SIK1,0,1,-3
EHMT2,1,0,-3
TRAF2,0,1,-2
HDAC2,1,0,-3
NOD1,0,1,-2
NOD2,0,1,-3
IL17RD,2,0,-3
KIS,0,1,-3
DOK2,1,0,-3
IL6ST,1,1,-2
PTPN12,0,1,-3
SKP1,1,0,-3
PIM3,1,0,-3
KL,4,0,-3
OPRD1,1,0,-3
PTPN13,0,2,-2
PLAUR,1,0,-3
DAPK3,2,2,-3
VRK3,2,0,-3
IL2RB,6,0,-3
RPS6KA4,3,1,1
HLA-DPA1,2,0,-3
HLA-DPB1,2,0,-3
ALK,2,0,1
FER,3,1,-3
FLT3,1,0,1
PTPN5,1,0,-3
HIF1A,1,0,1
CAMK1G,1,0,-3
PLXNA1,1,0,-3
PLXNA2,1,0,-3
PLXNA3,1,0,-3
PLXNA4,1,0,-3
STAT5A,2,0,1
ERBB4,4,0,1
MNAT1,2,0,-3
S1PR3,1,0,-3
BCL2L1,0,1,-2
DCC,4,0,-3
SHC2,1,0,-3
ITGAV,1,0,-3
PIK3C3,1,0,-2
CNTRL,3,0,-2
DUSP16,0,2,-3
DUSP10,0,2,-3
KDM1A,0,1,-3
TCF20,1,0,-3
AKAP13,1,0,-3
CCND3,1,1,1
LAT,6,0,-3
CUX1,4,0,-1
IGKV2-30,4,0,-3
IGKV2-29,4,0,-3
IGKV2-28,4,0,-3
CK1,3,3,-3
FGA,4,0,-3
FGB,4,0,-3
FGG,4,0,-3
KPNA1,2,1,-3
PRL,4,0,-3
BRIP1,0,2,-1
MAPRE1,1,0,-3
AGK,4,0,-3
RPS6KA2,2,1,-3
IL3,3,0,1
IL5,3,0,-3
ACVR1B,0,2,-2
STRAP,2,0,-3
IL1RAP,1,0,-3
RAD52,1,0,-2
SYNJ1,1,0,-3
SYNJ2,1,0,-3
PTPN22,0,1,-3
LRRFIP1,2,0,-3
RAN,0,1,-3
STAT3,1,1,1
KIT,7,1,1
PDE6D,0,1,-3
PRKAB1,1,2,-3
PRKAG1,1,2,-3
PRKAG3,1,2,-3
LEP,5,0,-3
MARK2,0,1,-3
EHMT1,1,0,-3
CTDSP1,1,1,-3
CTDSP2,1,1,-3
CTDSPL,1,1,-3
PKM,2,0,-3
MOS,1,0,-3
CD101,0,1,-3
NSD2,0,2,-3
FXR1,4,0,-3
TNIK,0,1,-3
PPP2R3B,0,1,-3
PELP1,4,0,-3
PRMT5,1,0,-3
ROS1,1,0,1
PAFAH1B1,1,0,-3
HUS1,0,6,-3
DIAPH1,2,2,-3
KIAA1549,4,0,-3
CDKN1B,1,1,-1
CDKN1C,1,0,-3
U2AF1,1,0,1
IFNGR2,1,0,-3
AFDN,1,1,-2
HIPK1,1,2,-3
DYRK1A,1,2,-3
FGFR3,5,2,1
IKKA,0,2,-3
PIK3R2,4,1,-1
PIK3R3,3,0,-1
PIK3R4,1,0,-3
PIK3R5,1,0,-3
PDE4DIP,1,0,-2
PDGFRA,3,0,1
PTPN2,2,10,-1
MAP4K5,0,1,-3
AURKC,0,1,-3
RAP1A,4,0,-3
RAP1B,4,0,-3
PPP2R5A,1,6,-3
SHB,2,0,-3
TUBG1,1,0,-3
HIST1H4C,0,2,-3
AP3B1,4,0,-3
PIK3CD,2,0,1
RAE1,0,1,-3
HGF,4,0,1
CEP70,1,0,-3
CEP72,1,0,-3
CEP76,1,0,-3
CEP78,1,0,-3
CEP57,1,0,-3
CEP63,1,0,-3
CEP41,1,0,-3
FES,1,1,-2
PPARGC1A,1,1,-3
SIK2,1,0,-3
SIGIRR,1,0,-3
NUAK2,1,0,-3
EBI3,2,0,-3
EPHB4,1,0,-2
MAP4K1,1,0,-3
BCL10,1,0,-1
AXL,1,0,1
SIN3A,1,0,-3
EPHA2,4,0,-3
NEK8,1,0,-3
TFAP2B,0,2,-3
NECTIN3,1,0,-3
ATG7,4,0,-3
MAP3K1,2,2,-1
MAP3K3,0,1,-3
MAP3K2,0,1,-3
SAV1,0,2,-3
CAMK2,1,0,-3
EPHA3,1,0,-1
IL20RA,2,0,-3
IL20RB,2,0,-3
CD22,0,1,-2
ACVR1C,0,2,-3
ACVR2B,0,2,-3
ACVR2A,0,2,-2
CASR,1,0,-3
WNT1,1,0,-3
UIMC1,0,2,-3
VAV2,4,1,1
GP6,1,0,-3
FOXO1,0,1,-1
FAM114A2,4,0,-3
EPHA4,1,0,-3
EPOR,4,0,1
PPP5C,1,1,-3
ITGB4,1,0,-3
SMYD2,1,0,-3
GCKR,0,1,-3
CCND1,2,1,1
IGF2,2,0,1
IGF1,2,0,1
SND1,4,0,-2
RAG1,0,1,-3
UHMK1,1,1,-3
BCL2L11,4,0,-1
CPSF6,2,0,-3
CRKL,1,0,1
KPNA3,0,1,-3
TRAV19,2,0,-3
BRCC3,0,2,-3
SIRPA,1,0,-3
CBLC,1,0,-2
YSK4,0,1,-3
TDGF1,2,2,-3
UBE2N,0,3,-3
IL27RA,2,0,-3
RHEB,2,0,1
PIP5K1C,2,0,-3
S1PR1,2,0,-3
ATF4,2,0,-3
MPIG6B,0,1,-3
NFKB2,1,1,-2
KPNA5,2,0,-3
NEK11,0,1,-3
IKKE,1,1,-3
IL15RA,1,0,-3
TBP,1,0,-3
CXCL12,4,0,-3
SGK2,1,0,-3
PPP2R2B,3,0,-3
CETN2,1,0,-3
CEP250,1,0,-3
COP1,0,1,-3
CPNE3,1,0,-3
CLSPN,0,2,-3
UBE2V1,0,1,-3
AGTRAP,4,0,-3
NDE1,1,0,-3
ELOC,0,1,-3
GDF1,0,2,-3
SPTA1,1,0,-3
STAT2,1,0,-2
ADORA2A,1,0,-3
EDNRA,1,0,-3
DAAM1,1,0,-3
CSNK1G3,0,1,-3
PRLR,4,0,-3
SH2B2,1,0,-3
UBE4B,0,1,-3
EDN1,1,0,-3
LAMP1,0,1,-3
STRN,3,0,-2
GNAS,1,1,1
GNAL,1,0,-3
EFNA5,2,0,-3
EFNA3,1,0,-3
RBBP7,0,1,-3
AREG,3,0,-3
IL12A,3,0,-3
NINL,1,0,-3
ADCYAP1R1,1,0,-3
RBBP8,0,2,-3
SUFU,0,4,-1
SMAD7,2,0,-3
SMAD4,2,2,-1
TLE3,1,0,-2
TYRO3,0,1,-2
MRE11A,0,1,-1
TIMELESS,0,1,-3
SETD7,1,1,-2
WNT3A,2,0,-3
RMI2,0,2,-2
RMI1,0,2,-3
LAMA1,1,0,-3
MYH11,0,1,-2
LAMC2,1,0,-3
LAMB1,1,0,-3
ATP2A2,0,1,-3
LEPR,5,0,-3
ANGPT2,2,0,-3
SSNA1,1,0,-3
IL10RA,1,0,-3
HMOX1,0,1,-3
PAK6,2,0,-3
NCOR1,0,1,-1
CCNK,1,1,-3
CCNC,1,1,-3
PTPRA,1,1,-3
TEK,2,0,-2
MAGED1,0,1,-2
ERLIN2,2,0,-3
CCNG1,0,1,-3
VHL,0,1,-1
PTPRJ,1,3,-3
A1BG,1,0,-3
PRPK,0,1,-3
PKN2,1,0,-3
PIKFYVE,1,0,-3
SH2D2A,2,0,-3
CCND2,1,0,1
CCNE2,3,0,-3
NKIRAS1,1,0,-3
NKIRAS2,1,0,-3
RELN,1,0,-2
ITGA2B,4,0,-3
HAUS8,1,0,-3
MAP3K20,0,1,-3
MAP2K7,0,1,-3
DCTN1,1,0,-2
MYD88,1,0,1
TSSK4,1,0,-3
VAV3,3,0,-3
PTPN18,0,1,-3
ITGA9,1,0,-3
ITGAM,1,0,-3
MST1R,1,0,1
DNMT1,0,1,1
MAP3K21,1,0,-3
MAP3K10,1,1,-3
CSH1,3,0,-3
CFC1,0,2,-3
LARP1B,1,0,-3
PI4KB,1,0,-3
GNGT1,1,0,-3
GNGT2,1,0,-3
INHBA,0,2,0
INHBB,0,2,-3
IL22RA1,1,0,-3
TAB2,0,1,-3
GNG10,1,0,-3
GNG12,1,0,-3
GNG11,1,0,-3
GNG13,1,0,-3
GDNF,2,0,-3
MTMR1,1,0,-3
MAGI2,0,2,-3
MTMR9,1,0,-3
MTMR2,1,0,-3
MTMR3,1,0,-3
MTMR6,1,0,-3
MTMR8,1,0,-3
RUNX3,0,1,-3
ODF2,1,0,-3
GLS2,0,1,-3
PPP2R5C,1,7,-3
SIAH2,1,0,-3
OFD1,1,0,-3
TAF3,1,0,-3
FRK,2,2,-3
CKAP5,1,0,-3
SFI1,1,0,-3
DDX5,2,0,-2
EGLN1,0,1,-3
CDK11B,0,1,-3
KDM7A,4,0,-3
PALLD,1,0,-3
RPS6KA6,1,1,-3
H2AX,0,1,-3
PNCK,1,0,-3
CDKN2A,0,2,-1
HDAC3,1,1,-3
